iter	Passed	Remaining
0	6	12143
1	7	7600
2	8	5882
3	10	5028
4	11	4613
5	12	4263
6	14	4017
7	15	3926
8	17	3816
9	18	3662
10	19	3587
11	21	3508
12	22	3435
13	23	3352
14	24	3266
15	25	3194
16	26	3141
17	28	3094
18	29	3112
19	31	3094
20	32	3070
21	33	3053
22	35	3049
23	36	3040
24	38	3029
25	39	3032
26	41	3042
27	43	3050
28	44	3043
29	46	3040
30	47	3028
31	49	3021
32	50	3004
33	51	2984
34	52	2972
35	54	2963
36	55	2969
37	57	2971
38	59	2970
39	60	2971
40	62	2962
41	63	2972
42	65	2972
43	66	2963
44	68	2962
45	69	2959
46	71	2957
47	72	2949
48	73	2943
49	75	2942
50	76	2940
51	78	2942
52	79	2937
53	81	2926
54	82	2922
55	84	2917
56	85	2916
57	86	2910
58	88	2907
59	89	2897
60	91	2893
61	92	2889
62	93	2882
63	95	2877
64	96	2874
65	98	2875
66	99	2878
67	101	2875
68	102	2871
69	104	2870
70	105	2869
71	107	2866
72	108	2866
73	109	2859
74	111	2855
75	112	2855
76	114	2857
77	115	2855
78	117	2852
79	118	2848
80	119	2841
81	121	2836
82	122	2831
83	123	2825
84	125	2824
85	126	2824
86	128	2823
87	129	2820
88	131	2815
89	132	2809
90	133	2801
91	134	2793
92	135	2785
93	137	2778
94	138	2773
95	139	2769
96	141	2768
97	142	2764
98	143	2761
99	145	2759
100	146	2755
101	147	2749
102	148	2743
103	150	2737
104	151	2732
105	152	2731
106	154	2730
107	155	2725
108	156	2721
109	158	2717
110	159	2712
111	160	2708
112	162	2705
113	163	2704
114	164	2701
115	166	2703
116	168	2707
117	169	2704
118	170	2702
119	172	2701
120	173	2698
121	175	2696
122	176	2694
123	177	2690
124	179	2694
125	181	2698
126	182	2696
127	184	2692
128	185	2689
129	186	2684
130	187	2678
131	188	2674
132	190	2671
133	191	2670
134	193	2669
135	194	2669
136	196	2670
137	198	2671
138	200	2678
139	203	2706
140	206	2719
141	209	2741
142	211	2742
143	212	2745
144	214	2743
145	215	2741
146	217	2740
147	218	2736
148	220	2735
149	221	2735
150	223	2734
151	224	2732
152	226	2729
153	227	2727
154	228	2724
155	230	2721
